Datetime,hour,minute,weekday,timestamp,Room,Staff_Needed_Predicted
2025-03-05 14:30:00,14,30,2,1741185000,Pre-K2,2.0
2025-03-05 15:00:00,15,0,2,1741186800,Pre-K2,2.0
2025-03-05 15:30:00,15,30,2,1741188600,Pre-K2,2.0
2025-03-05 16:00:00,16,0,2,1741190400,Pre-K2,2.0
2025-03-05 16:30:00,16,30,2,1741192200,Pre-K2,2.0
2025-03-05 17:00:00,17,0,2,1741194000,Pre-K2,2.0
2025-03-05 17:30:00,17,30,2,1741195800,Pre-K2,2.0
2025-03-05 18:00:00,18,0,2,1741197600,Pre-K2,2.0
2025-03-05 18:30:00,18,30,2,1741199400,Pre-K2,2.0
2025-03-05 19:00:00,19,0,2,1741201200,Pre-K2,2.0
2025-03-05 19:30:00,19,30,2,1741203000,Pre-K2,2.0
2025-03-05 20:00:00,20,0,2,1741204800,Pre-K2,2.0
2025-03-05 20:30:00,20,30,2,1741206600,Pre-K2,2.0
2025-03-05 21:00:00,21,0,2,1741208400,Pre-K2,2.0
2025-03-05 21:30:00,21,30,2,1741210200,Pre-K2,2.0
2025-03-05 22:00:00,22,0,2,1741212000,Pre-K2,2.0
